UAE, QATAR, SAUDI, OMAN, BAHRAIN
0.80954337,0.920634435,0.942460317,0.160714286,0.982142857
0.238033148,0.118385449,0.017857143,0.259920635,0.057539683
0.238034387,0.146688548,0.212301587,0.517857143,0.474248246
0.238034353,0.101191404,0.057539683,0.14484127,0.025793651
0.123114312,0.70421435,0.731979574,0.251984127,0.089285714
0.54956551,0.630966341,0.675182537,0.81547619,0.716274927
0.712315237,0.793699204,0.831349206,0.744047619,0.843253968
0.188492246,0.365079214,0.26395627,0.910714286,0.144679443
0.549565406,0.162710141,0.089285714,0.021825397,0.203551426
0.650793817,0.896826031,0.85515873,0.708333333,0.712301587
0.152773656,0.083438242,0.053571429,0.422619048,0.132936358
0.91468254,0.906746032,0.93452381,0.513888889,0.597222222
0.791666667,0.882936508,0.882860218,0.958333333,0.966269841
0.188491736,0.069444444,0.061507937,0.152777778,0.196428571
0.378952636,0.170618725,0.671748461,0.529761905,0.303571429
0.307554443,0.226177891,0.204365079,0.85515873,0.72023301
0.37895413,0.456348378,0.335317461,0.08531746,0.847222222
0.549565885,0.765895499,0.890873016,0.676587302,0.442460317
0.712159991,0.765892212,0.91468254,0.525793651,0.851190476
0.869177288,0.704210704,0.779724966,0.859126984,0.938492063
0.549401774,0.704094066,0.751984127,0.751984127,0.263888889
0.549630038,0.226218845,0.125,0.490079365,0.922619048
0.378957648,0.331503827,0.418709918,0.482142857,0.287698413
0.809546382,0.404620186,0.267789762,0.196428571,0.117063492
0.378971109,0.630967543,0.775830589,0.295634921,0.398809524
0.238042737,0.083446156,0.101190476,0.148809524,0.045634921
0.188487579,0.53962203,0.670926144,0.748015873,0.267857143
0.712315084,0.11838904,0.06547619,0.39484127,0.489856044
0.037698413,0.539639843,0.722752012,0.418650794,0.839285714
0.188495288,0.194449533,0.425343129,0.827380952,0.206983662
0.896831855,0.871040571,0.851190476,0.922619048,0.962301587
0.549564177,0.539630064,0.423846907,0.509920635,0.724206349
0.307555634,0.194443478,0.152777778,0.248015873,0.299603175
0.6507946,0.404605331,0.553118761,0.823412698,0.482185478
0.075524506,0.101188667,0.109126984,0.156746032,0.061507937
0.096846226,0.118388423,0.18452381,0.486111111,0.307539683
0.910714286,0.896824925,0.902777778,0.700396825,0.486320445
0.980161946,0.976191372,0.974206349,0.819444444,0.910714286
0.378965736,0.595243554,0.728060819,0.704365079,0.141034843
0.612925412,0.301581763,0.446480558,0.847222222,0.202560151
0.033730159,0.049670057,0.093253968,0.168650794,0.212301587
0.430581915,0.331514879,0.386914694,0.446428571,0.31547619
0.650794591,0.630964385,0.628699661,0.672619048,0.402777778
0.130962954,0.146686282,0.172619048,0.192460317,0.652777778
0.549574722,0.704219476,0.748015873,0.740079365,0.494018985
0.450396827,0.577380953,0.827380952,0.533730159,0.319444444
0.668650794,0.501984127,0.378361364,0.303571429,0.323500457
0.650793715,0.668650523,0.721819166,0.331349206,0.327293193
0.096845735,0.134916582,0.077380952,0.136904762,0.172619048
0.238784415,0.212301587,0.156746032,0.307539683,0.331349206
0.469624038,0.488075931,0.318187912,0.537698413,0.41468254
0.924602879,0.920634962,0.962301587,0.724206349,0.83531746
0.549563761,0.793699025,0.271825398,0.31547619,0.06547619
0.378958574,0.365079937,0.451104063,0.140873016,0.668650794
0.835339041,0.823412975,0.716412487,0.656746032,0.386904762
0.279742527,0.595239428,0.660388239,0.505952381,0.49866098
0.307555522,0.273790006,0.216269841,0.728174603,0.898809524
0.470694881,0.456348119,0.339512911,0.267857143,0.168650794
0.868567702,0.886904762,0.898809524,0.898809524,0.871031746
0.946428726,0.93452381,0.966269841,0.982142857,0.831349221
0.998015873,0.998015873,0.998015873,0.998015873,0.998015873
0.990079365,0.994047619,0.994047619,0.994047619,0.994047619
